TitleID,TitleName,SortID,Index,StickersID,Description,isHide,LocalizationArea,ShowTimeRules,ShowTimeRulesPara,
称号id,称号名称,排序id（从小到大）,分类（100|200|300）,贴纸id,描述,是否隐藏(配置1隐藏，0或不填正常显示),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,当ShowTimeRules配1时，ShowTimeRulesPara配自然时间，结束日期不能超过20301231，例：20210730=050000|20301231=045959\n4、当ShowTimeRules配2时，ShowTimeRulesPara配开服天数，例：1=100；当isHide填1时，ShowTime字段不生效,,备注（策划用）
1050001,普隆德拉一套房,1,200,,,,,,,积少成多
1050002,财富自由,2,200,,,,,,,积少成多2
1050003,商界巨贾,3,200,6041001,,,,,,积少成多3
1050004,喵小友的小跟班,4,200,,,,,,,附魔大师
1050005,猫手商队合作伙伴,5,200,,,,,,,光辉勋章
1050006,S级魔物猎手,6,300,6041002,,,,,,全场最佳
1050007,A级魔物猎手,7,300,,,,,,,勇者试炼
1050008,B级魔物猎手,8,300,,,,,,,荒野求生
1050009,MVP,9,300,,,,,,,MVP团队
1050010,MVP,10,300,6041003,,,,,,MVP团队2
1050011,MVP,11,300,6042001,,,,,,MVP团队3
1050012,小恶魔急救队,12,300,,,,,,,恶魔宝藏
1050013,恩德勒斯的荣光,13,300,,,,,,,无尽之塔
1050014,他先动的手,14,300,,,,,,,无畏先锋
1050015,补刀大神,15,300,,,,,,,疯狂斩杀
1050016,一个能打的都没有,16,300,,,,,,,蒂花之秀
1050017,战场统治者,17,300,,,,11,,,战场王者
1050018,我莫得感情,18,300,,,,,,,荣誉击杀
1050019,人形兵器,19,300,6041004,,,,,,荣誉击杀2
1050021,向钱冲,21,300,,,,,,,跑断腿了
1050022,落地成盒,22,300,,,,,,,落地成盒
1050024,锦旗挂满墙,24,400,6041006,,,,,,协同之证
1050025,对不起我是工具人,25,400,6041007,,,,,,协同之证2
1050027,离开地球表面,27,500,6041008,,,,,,极限挑战
1050028,对不起我是避雷针,28,500,,,,,,,雷电轰鸣
1050029,料理爱好者,29,500,,,,,,,美食家
1050030,大美食家,30,500,,,,,,,美食家2
1050031,五星大厨,31,500,6041009,,,,,,美食家3
1050032,制药工具人,32,500,,,,,,,药剂专精
1050033,药剂学者,33,500,,,,,,,药剂专精2
1050034,绝命药师,34,500,6041010,,,,,,药剂专精3
1050035,忽克连的心上人,35,500,,,,,,,人品爆棚
1050036,或许这就是大佬吧,36,500,6043001,,,,,,不论成败也要冷静
1050037,无法被复制的成功,37,500,6045001,,,,,,已经不光是运气了
1050040,砸奶油机器人,38,500,,,,,,,无敌厨神
1051001,就在树下哪都不去,39,500,,完成奇遇任务：巫女的爱情,,,,,
1059001,食神,41,200,,宴会筹备结算时个人排名第1名解锁,,,,,
1059002,米其林大厨,42,200,,烹饪比赛结算时个人排名2~3名解锁,,,,,
1059003,烹饪大师,43,200,,烹饪比赛结算时个人排名4~10名解锁,,,,,
1059004,芙蕾雅的眷顾,44,200,,星探手册结算时时尚度个人排名第1名解锁,,,,,
1059005,天使降临,45,200,,星探手册结算时时尚度个人排名第2名解锁,,,,,
1059006,颜即正义,46,200,,星探手册结算时时尚度个人排名第3名解锁,,,,,
1059007,人见人爱,47,200,,星探手册结算时时尚度个人排名第4-10名解锁,,,,,
1059008,王国第一公会,48,200,,皇室竞赛甲组第1名公会成员解锁,,9,,,
1059009,王国守护,49,200,,皇室竞赛甲组第2名公会成员解锁,,9,,,
1059010,王国勇士,50,200,,皇室竞赛甲组第3名公会成员解锁,,9,,,
1059011,魔物研究学者,51,200,,魔物研究等级个人排名第1名解锁,,,,,
