Id,ActivityID,LatticeType,TurnOfRewardForMale,TurnOfRewardForFemale
圈数ID,活动ID,奖励格 格子位置=道具ID=数量|……,圈数奖励(男),圈数奖励(女)
1,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043800,2043800
2,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043810,2043810
3,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043820,2043820
4,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043830,2043830
5,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043840,2043840
6,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043850,2043850
7,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043860,2043860
8,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043870,2043870
9,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043880,2043880
10,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043890,2043890
11,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043900,2043900
12,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043910,2043910
13,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043920,2043920
14,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043930,2043930
15,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043940,2043940
16,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043950,2043950
17,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043960,2043960
18,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043970,2043970
19,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043980,2043980
20,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2043990,2043990
21,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044000,2044000
22,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044910,2044910
23,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044020,2044020
24,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044030,2044030
25,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044040,2044040
26,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044050,2044050
27,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044060,2044060
28,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044070,2044070
29,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044080,2044080
30,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044090,2044100
31,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044110,2044110
32,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044120,2044120
33,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044130,2044130
34,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044140,2044140
35,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044150,2044150
36,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044160,2044160
37,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044170,2044170
38,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044180,2044180
39,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044190,2044190
40,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044200,2044200
41,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044210,2044210
42,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044220,2044220
43,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044230,2044230
44,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044240,2044240
45,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044250,2044250
46,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044260,2044260
47,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044270,2044270
48,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044280,2044280
49,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044290,2044290
50,14011880,6=2043002=100|12=2043002=100|18=2043002=100,2044300,2044300
