CoordinateGroup,Map,Coordinate
坐标库ID,地图,左边
1,1,160=13=196
1,1,81=7=113
1,1,175=7=83
1,1,194=7=55
1,1,147=7=67
1,1,77=7=48
1,1,49=7=71
1,1,50=7=117
1,1,29=7=115
1,1,46=7=183
1,1,45=12=205
2,12,110=1=148
2,12,93=13=112
2,12,153=2=55
2,12,125=2=46
2,12,118=2=71
1,12,69=2=70
1,12,34=5=64
1,12,56=5=52
1,12,68=5=38
1,12,73=5=55
1,7,58=10=151
1,7,156=9=46
1,7,155=9=74
1,7,172=10=204
1,7,173=10=220
1,7,161=10=212
1,7,67=9=207
1,7,76=9=183
1,7,83=10=100
1,7,69=10=103
1,7,78=9=63
1,7,60=9=51
1,7,40=9=69
1,50,211=17=82
1,50,190=19=105
1,50,207=17=108
1,50,172=19=108
1,50,167=17=127
1,50,166=13=158
1,50,148=17=136
1,50,119=22=156
1,50,98=22=217
1,50,97=22=185
1,50,108=22=123
1,50,92=22=124
1,50,91=22=104
1,50,109=22=91
1,50,127=22=101
1,50,179=19=57
1,50,78=25=62
1,48,89=43=72
1,48,56=43=85
1,48,165=43=160
1,48,139=43=112
1,48,107=46=101
1,48,79=46=98
1,48,164=43=173
1,4,146=14=72
1,4,152=6=27
1,4,49=10=75
1,4,57=10=94
1,4,68=10=81
1,4,79=10=37
1,4,119=10=31
1,4,113=10=91
1,4,58=10=118
1,4,152=6=136
1,52,56=10=69
1,52,49=13=89
1,52,74=10=70
1,52,99=10=68
1,52,86=10=68
1,52,80=10=101
1,52,92=13=52
1,52,81=13=38
1,52,72=13=84
1,52,93=13=45
1,509,58=17=58
1,509,77=17=89
1,509,109=17=104
1,509,114=17=56
1,509,52=17=107
1,509,66=17=96
1,509,87=17=48
1,509,111=17=78
1,11,119=1=63
1,11,83=1=91
1,11,68=1=75
1,11,53=1=107
1,11,44=1=141
1,11,76=1=129
1,11,123=1=141
1,11,107=1=56
1,11,93=1=122
1,501,133=1=154
1,501,41=1=65
1,501,75=1=73
1,501,54=1=46
1,501,45=1=79
1,501,149=1=48
1,501,132=1=60
1,501,117=1=78
1,501,154=1=113
1,501,48=1=149
