id,type,MainId,Time,IntervalGlobal,GoalID,InitialGrade,ServerDaysLimit,LabelLimit,BaseLimit,LocalizationArea
不重复即可,1=终身2=重复,档位=礼包id，例如1=10001|2=10002|3=10003|4=10004，代表4个价格的礼包,限时礼包的持续倒计时，秒,同一id礼包触发间隔时间，时,不能重复，触发条件id，索CommonGoalsTable的id，满足id的触发条件，就会弹出对应id的礼包,触发该礼包时所有人的初始档位,服务器开服时间天数限制（10=30，两边值包含在内）,"玩家标签限制，必须填（0:不限制,1:普通玩家,1001:萌新玩家，1002:回流玩家）",满足base等级才有可能触发礼包（10=30，两边值包含在内）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
26,1,1=31000,10800,4,726,1,0=9999,0,25=999,16
27,2,1=31001,10800,168,727,1,0=9999,0,25=999,16
28,1,1=31002,10800,4,728,1,0=9999,0,25=999,16
29,1,1=31003,10800,4,729,1,0=9999,0,25=999,16
30,1,1=31004,10800,4,730,1,0=9999,0,25=999,16
31,1,1=31005,10800,4,731,1,0=9999,0,25=999,16
32,1,1=31006,10800,4,732,1,0=9999,0,25=999,16
33,1,1=31007,10800,4,733,1,0=9999,0,25=999,16
34,1,1=31008,10800,4,734,1,0=9999,0,25=999,16
35,1,1=31009,10800,4,735,1,0=9999,0,25=999,16
36,1,1=31010,10800,4,736,1,0=9999,0,25=999,16
37,1,1=31011,10800,4,737,1,0=9999,0,25=999,16
38,1,1=31012,10800,4,738,1,0=9999,0,25=999,16
39,1,1=31013,10800,4,739,1,0=9999,0,25=999,16
40,1,1=31014,10800,4,740,1,0=9999,0,25=999,16
41,1,1=31015,10800,4,741,1,0=9999,0,25=999,16
42,1,1=30067,10800,4,742,1,0=9999,0,25=999,16
43,1,1=10183,10800,4,743,1,0=9999,0,25=999,8
44,1,1=10184,10800,4,744,1,0=9999,0,25=999,8
45,1,1=10185,10800,4,745,1,0=9999,0,25=999,8
46,1,1=10186,10800,4,746,1,0=9999,0,25=999,8
47,1,1=10187,10800,4,747,1,0=9999,0,25=999,8
48,1,1=10188,10800,4,748,1,0=9999,0,25=999,8
49,1,1=10189,10800,4,749,1,0=9999,0,25=999,8
50,1,1=10190,10800,4,750,1,0=9999,0,25=999,8
51,1,1=10191,10800,4,751,1,0=9999,0,25=999,8
52,1,1=10192,10800,4,752,1,0=9999,0,25=999,8
53,1,1=10193,10800,4,753,1,0=9999,0,25=999,8
54,1,1=10194,10800,4,754,1,0=9999,0,25=999,8
55,1,1=31016,28800,4,755,1,0=9999,0,25=999,16
