ID,,NextStepId,NextIndexId,MarkIndex,CheckMgrName,CheckMgrMethodName,dragData,NpcShowModel,Type,ValueId,ButtonUIComName,TaskStatus,arrowType,UIOffset,EffectData,AttrTip,CountDownData,UIText,UIAudio
步骤唯一ID(前3位代表引导ID后3位代表步骤),历史首次打开锻造界面【材料追踪】引导,下一步骤的ID,下一步新手指引组的关键字（支持多个 | 分隔）,完成步骤后需要设置的标记,检测Mgr(默认不检测，不配置表示默认)，配置后会执行检测的方法，返回true才会向后端发送完成记录，mgrName和methodName 找程序同学确认,检测方法名,拖拽数据（是否拖拽=起点X=起点Y=终点X=终点Y）,卡普拉展示位置（-1不显示文字 0不展示 1左边 2右边）,展示类型(0半身像 1选操作模式 2任务追踪 3技能面板 4主UI介绍 5场景交互 6通用玩法说明 7系统按钮 8快捷物品使用  9OX确认按钮 10技能加点按钮 12NPC对话界面选项按钮13通用按钮）（11是QTE指引类型）,内容ID（可以是：任务ID、技能ID、通用玩法说明ID、系统ID）通过Type字段区分具体是什么ID,对应type列13类型，填写对应被引导按钮在MLuaUICom脚本里的名称,任务状态(支持多个用|隔开0可接取;1已接取;2废弃;3已完成;4失败;5可完成;6不可接;),箭头展示类型(0没有1左上2左3左下4右下5右6右上),引导UI偏移(锚点类型=x轴偏移 =y轴偏移)；锚点类型：1左上，2正上，3右上，4左，5正中，6右，7左下，8正下，9右下,特效数据（特效类型=特效偏移X=特效偏移Y=特效宽度W=特效高度H=特效缩放S）（特效类型说明： 0无特效 1光圈 2手指 3方形 4OX按钮 5任务）（宽高填-1代码自适应）,属性指引框\r\n（0不显示1A2B3C）(一般情况下只在角色属性界面用到),倒计时数据（触发倒计时=持续倒计时）\r\n(单位：毫秒),引导UI文本\r\n一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三,音频文件
101001,首次登录(选操作模式),101002,,101,,,0=0=0=0=0,1,1,0,,,0,5=0=0,0=0=0=0=0=1,0,0=0,即时反馈，适合MMO手游玩家|操作便捷，适合端游老玩家,
101002,首次登录(过渡对话1),,,,,,0=0=0=0=0,1,0,0,,,0,5=0=0,0=0=0=0=0=1,0,0=0,冒险者，可以在“设置”中随时更换模式哦,
101003,首次登录(过渡对话2),,,,,,0=0=0=0=0,1,0,0,,,0,5=0=0,0=0=0=0=0=1,0,0=0,接下来再为你介绍一下界面信息^-^,
101004,首次登录(展示主UI信息),,,102,,,0=0=0=0=0,1,4,0,,,0,5=0=0,0=0=0=0=0=1,0,0=0,,
101005,首次登录(任务追踪),,,103,,,0=0=0=0=0,0,2,1000010,,0,2,5=325=0,0=0=0=0=0=1,0,5000=0,快去登记名字吧,
102001,治疗任务,,,,,,0=0=0=0=0,0,11,100002,,,0,5=-185=110,3=186=-108.7=120=120=1,0,0=0,使用紧急治疗恢复血量！,
103001,装死任务1,103002,,,,,0=0=0=0=0,0,3,100003,,1,4,5=-185=110,0=0=0=0=0=1,0,2000=0,使用<color=$$Blue$$>【装死】</color>,
103002,装死任务2,,,,,,0=0=0=0=0,0,3,100003,,,4,5=-185=110,0=0=0=0=0=1,0,1000=9000,再次点击可起身,
104001,素质点1,104002,,104,,,0=0=0=0=0,1,0,0,,,4,5=-195.6=140,0=0=0=0=0=1,1,0=0,这里是人物属性状态区，A列代表你当前的属性素质点,
104002,素质点2,104003,,,,,0=0=0=0=0,1,0,0,,,4,5=-90.5=140,0=0=0=0=0=1,2,0=0,B列代表你的装备等加成点,
104003,素质点3,104004,,,,,0=0=0=0=0,1,0,0,,,4,5=-25.3=140,0=0=0=0=0=1,3,0=0,C列代表当前加点所消耗的属性点,
104004,素质点4,,,,,,0=0=0=0=0,1,0,0,,,4,5=-295=-126,0=0=0=0=0=1,0,0=0,属性点对于人物提升非常重要，点击？号可以查看详细说明哦,
105001,技能界面1,105002,,105,,,0=0=0=0=0,1,0,0,,,0,5=0=0,0=0=0=0=0=1,0,0=0,通过打怪、任务和玩法可获得 Job经验，提升职业等级，获得技能点。,
105002,技能界面2,,SwordmanSkill|AcolyteSkill|MagicianSkill|ThiefSkill|ArcherSkill|MerchantSkill,,,,0=0=0=0=0,1,0,0,,,0,5=0=0,0=0=0=0=0=1,0,0=0,点击“+”号按钮可消耗技能点学习/升级技能。,
106001,键位配置1,,,106,,,1=-275=125=225=-25,1,0,0,,,0,5=-150=-75,0=0=0=0=0=1,0,0=0,从左侧拖动技能至右侧可设置键位,
