ID,Condition,ProfessionLimit,LevelLimit,Enable,StepID,
ID,条件,职业限定（支持多个 | 分隔 没有限制则为空）,等级限定（下限=上限  默认0=0无限制）,是否开启(1开启0关闭),步骤ID,引导类型说明
ChooseMode,101=0,,,0,101001,选择操作模式
ShowMainUITips,101=1|102=0,,,0,101004,显示主UI说明信息
FirstTaskTrack,101=1|102=1|103=0,,,1,101005,第一次任务追踪引导
QualityPoint,104=0,,,1,104001,素质点
SkillUI,105=0,,,1,105001,技能界面
SkillSetting,106=0,,,1,106001,键位设置
SkillLevel,107=0,,,1,107001,技能等级
ServerLevel,104=1|108=0,,,1,108001,服务器等级(需要玩家Base等级达到上限)
HandBook,109=0,,,1,109001,图鉴
DressUp,110=0,,,1,110001,衣橱
Refine,111=0,,,1,111001,精炼
ProfQualityPoint,104=1|112=0,,,0,112001,一转后素质点(需要玩家达到一转)
ThemeDungeon,113=0,,,0,113001,主题副本
EndlessTower,114=0,,,1,114001,无限塔
GuildCrystal,115=0,,,1,115001,公会水晶
HymnTrial,116=0,,,1,116001,圣歌试炼
PhotoWall,117=0,,,1,117001,照片墙
Entrust1,118=0,,,1,118001,委托引导1-功能开启
Entrust2,119=0,,,1,119001,委托引导2-界面介绍
Entrust3,120=0|119=1,,,1,120001,委托引导3-页签介绍
Entrust4,121=0|120=1,,,1,121001,委托引导4-委托刷新
Entrust5,122=0,,,1,122001,委托引导5-升级涨委托证明
Elf1,123=0,,,1,123001,波利团引导1
Elf2,124=0,,,1,124001,波利团引导2
SkillGuide1,125=0,,,1,125001,技能引导1
Business,126=0,,,1,126001,跑商引导1
Photograph,127=0,,,1,127001,委托拍照引导1
SceneInteraction,128=0,,,1,128001,场景交互按钮引导
FirstTask,129=0,,,1,129001,第一次任务引导
UseCamera,130=0,,,1,130001,相机使用引导
NormalAttack,131=0,,,1,131001,普通攻击、强攻引导
QualityPointConfirm,132=0,,,1,132001,素质点加点确认引导
SwordmanSkill,133=0,2000,,1,133001,剑士技能加点引导
