ID,Index,
ID,字段名,描述文字(策划用)
100,MainSwitch,测试用总开关
101,ChooseMode,选择操作模式
102,ShowMainUITips,显示主UI说明信息
103,FirstTaskTrack,第一次任务追踪引导
104,QualityPoint,素质点
105,SkillUI,技能界面
106,SkillSetting,键位设置
107,SkillLevel,技能等级
108,ServerLevel,服务器等级
109,HandBook,图鉴
110,DressUp,衣橱
111,Refine,精炼
112,ProfQualityPoint,一转后素质点
113,ThemeDungeon,主题副本
114,EndlessTower,无限塔
115,GuildCrystal,公会水晶
116,HymnTrial,圣歌试炼
117,PhotoWall,照片墙
118,Entrust1,委托引导1-功能开启
119,Entrust2,委托引导2-界面介绍
120,Entrust3,委托引导3-页签介绍
121,Entrust4,委托引导4-委托刷新
122,Entrust5,委托引导5-升级涨委托证明
123,Elf1,波利团引导1
124,Elf2,波利团引导2
125,SkillGuide1,技能引导1
126,Business,跑商引导1
127,Photograph,委托拍照引导1
128,SceneInteraction,场景交互按钮引导
129,FirstTask,第一次任务引导
130,UseCamera,相机使用
131,NormalAttack,普通攻击、强攻引导
132,QualityPointConfirm,素质点加点确认引导
133,SwordmanSkill,剑士技能加点引导
134,AcolyteSkill,服事技能加点引导
135,MagicianSkill,魔法师技能加点引导
136,ThiefSkill,盗贼技能加点引导
137,ArcherSkill,弓箭手技能加点引导
138,MerchantSkill,商人技能加点引导
139,SkillPointConfirm,技能加点确认引导
140,MercenaryGuideFirst,佣兵引导
141,MercenaryGuideSecond,获取第二个佣兵时重复引导
142,FirstTalkTaskGuide,第一次对话任务按钮引导
143,MallGuide,第一次打开卖场界面引导
144,NewRoleGuide,萌新用户角色界面引导
145,SouvenirStoneGuide1,第一次进入纪念原石界面引导
146,SouvenirStoneGuide2,完成5次雕琢进入纪念原石界面引导
147,SouvenirStoneGuide3,第一次进入纪念晶石分配界面引导
148,AssistGuild1,拥有协同之证后第一次进入背包引导
149,AssistGuild2,拥有协同之证后第一次进入积分货币界面引导
150,SecondTalkTaskGuide,第二次对话任务按钮引导
151,AutoBattleMainUI,第一次打开自动战斗界面时的引导
152,AutoBattleOnceClose,玩家第一次在开启了自动战斗时，关闭了自动战斗面板时
153,GetAutoDevOpenBag,玩家获得道具后，第一次打开背包
