UnusedId,Comment,FromMapId,ToMapId,ToMapPosition,ToMapFace,ToMapCamera,Cosumes,Npcs,NpcCheckDistance
自增id,注释,来源地图ID,到达地图ID,到达地图坐标(精确小数点后1位）如果不填，则默认走降落点,达到地图朝向,到达地图视角,是否有消耗物，多个消耗物，使用|分割,是否需要通过NPC触发，多个NPC用|分割,"Npc校验距离，单位米,精确至0.1"
1,伊斯鲁得传到迷雾岛,50,30,,,,,1344,10
2,迷雾岛回到伊斯鲁得,30,50,145.9=17.3=138.2,,,,6210,10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
