VehicleQuality,Attr1,Attr2,Attr3,Attr4,Attr5
载具等级,属性1，格式：0=属性ID=属性值，如果是百分数属性，要配置万分比,属性2,属性3,属性4,属性5
0,0=27=0,0=36=0,0=47=0,0=28=0,0=37=0
1,0=27=1,0=36=1,0=47=3,0=28=10,0=37=10
2,0=27=1,0=36=1,0=47=6,0=28=10,0=37=10
3,0=27=2,0=36=2,0=47=8,0=28=10,0=37=10
4,0=27=2,0=36=2,0=47=11,0=28=10,0=37=10
5,0=27=2,0=36=2,0=47=14,0=28=10,0=37=10
6,0=27=3,0=36=3,0=47=16,0=28=10,0=37=10
7,0=27=3,0=36=3,0=47=19,0=28=10,0=37=10
8,0=27=4,0=36=4,0=47=21,0=28=10,0=37=10
9,0=27=4,0=36=4,0=47=24,0=28=10,0=37=10
10,0=27=4,0=36=4,0=47=27,0=28=20,0=37=20
11,0=27=5,0=36=5,0=47=29,0=28=20,0=37=20
12,0=27=5,0=36=5,0=47=32,0=28=20,0=37=20
13,0=27=6,0=36=6,0=47=34,0=28=20,0=37=20
14,0=27=6,0=36=6,0=47=37,0=28=20,0=37=20
15,0=27=6,0=36=6,0=47=40,0=28=20,0=37=20
16,0=27=7,0=36=7,0=47=42,0=28=20,0=37=20
17,0=27=7,0=36=7,0=47=45,0=28=20,0=37=20
18,0=27=8,0=36=8,0=47=48,0=28=20,0=37=20
19,0=27=8,0=36=8,0=47=50,0=28=30,0=37=30
20,0=27=8,0=36=8,0=47=53,0=28=30,0=37=30
21,0=27=9,0=36=9,0=47=55,0=28=30,0=37=30
22,0=27=9,0=36=9,0=47=58,0=28=30,0=37=30
23,0=27=9,0=36=9,0=47=61,0=28=30,0=37=30
24,0=27=10,0=36=10,0=47=63,0=28=30,0=37=30
25,0=27=10,0=36=10,0=47=66,0=28=30,0=37=30
26,0=27=11,0=36=11,0=47=68,0=28=30,0=37=30
27,0=27=11,0=36=11,0=47=71,0=28=30,0=37=30
28,0=27=11,0=36=11,0=47=74,0=28=40,0=37=40
29,0=27=12,0=36=12,0=47=76,0=28=40,0=37=40
30,0=27=12,0=36=12,0=47=79,0=28=40,0=37=40
31,0=27=13,0=36=13,0=47=82,0=28=40,0=37=40
