Id,Vehicaleid,Name,SpecialAnimLevel,SpecialAnim,SpecialAnimConsume,RoleSpecialAnim
ID（载具id+2位）VehicleTable中使用,载具id（策划使用，差错是否是这个载具的炫技动作）,载具名字（策划使用）,炫技品质（用来计算典藏值）,炫技动画,解锁炫技的消耗（道具id=道具数量|道具id=道具数量|……,人物动作
102002301,1020023,木乃伊王座,4,Mount_MuNaiYi_Show_01,1029020=8|1029021=2,
102002201,1020022,白幽灵秋千,3,Mount_YouLing02_Show_01,1029020=4|1029021=2,YouLing02_Show_01|YouLing02_Show_01
102003001,1020030,游泳鸭,4,Mount_QianShuiYa_Show_01,1029020=8|1029021=2,
102002401,1020024,鲨鱼恶霸,4,Mount_ShaYu_Show_01,1029020=8|1029021=2,
102003101,1020031,月亮木马,4,,1029020=8|1029021=2,
102000301,1020003,小恶魔双人车,4,Mount_MaChe_Show_01,1029020=8|1029021=2,
102000701,1020007,抱抱熊,4,,1029020=8|1029021=2,
102002501,1020025,哭泣汉堡,3,,1029020=4|1029021=2,
102000901,1020009,波利串串,3,,1029020=4|1029021=2,
102002101,1020021,博学幽灵,3,Mount_YouLing01_Show_01,1029020=4|1029021=2,
102002601,1020026,泡泡,3,,1029020=4|1029021=2,
102002701,1020027,布布,3,,1029020=4|1029021=2,
102002801,1020028,吉吉,3,,1029020=4|1029021=2,
102002901,1020029,岛岛,3,,1029020=4|1029021=2,
102990601,1029906,鲨鱼恶霸,3,,1029020=4|1029021=2,
102104201,1021042,炫酷魔物滑板,4,,1029020=8|1029021=2,
102104301,1021043,魔法飞行扫把,3,Mount_NvWuDeShaoBa_Show_01,1029020=4|1029021=2,
102104401,1021044,拉风南瓜车,3,Mount_NanGuaChe_Idle_Show_01,1029020=4|1029021=2,
102105001,1021050,骷髅战马,3,Mount_KuLouMa_Show_01,1029020=4|1029021=2,KuLouMa_Show_01
102105101,1021051,RO-037型,3,Mount_JiJia_Show_01,1029020=4|1029021=2,JiJia_Show_01
102105201,1021052,弯角羊,3,Mount_WanJiaoYang_Show_01,1029020=4|1029021=2,
102105301,1021053,兔子团,3,Mount_TuZiTuan_Show_01,1029020=4|1029021=2,
102104801,1021048,公主贝壳,3,Mount_GongZhuBeiKe_Show_01,1029020=4|1029021=2,
102104901,1021049,欢庆麋鹿,3,Mount_HuanQingMiLu_Show_01,1029020=4|1029021=2,HuanQingMiLu_Show_01
102105401,1021054,旅月时光,3,Mount_YueTu_Show_01,1029020=4|1029021=2,
102105601,1021056,魔术球,3,Mount_MoShuQiu_Show_01,1029020=4|1029021=2,MoShuQiu_Show_01
102105701,1021057,时光之轮,3,Mount_ShiGuangZhiLun_Show_01,1029020=4|1029021=2,ShiGuangZhiLun_Show_01
102105501,1021055,黑色星期五,3,Mount_HeiSeXingQiWu_Show_01,1029020=4|1029021=2,HeiSeXingQiWu_Show_01_driver|HeiSeXingQiWu_Show_01_passenger
102105801,1021058,惊悚稻草人,3,Mount_NanGuaTuiChe_Show_01,1029020=4|1029021=2,NanGuaTuiChe_Show_01
102105901,1021059,绒绒虫,3,Mount_MaoMaoChong_Show_01,1029020=4|1029021=2,MaoMaoChong_Show_01
102106001,1021060,筋斗云,3,Mount_LeiYun_Show_01,1029020=4|1029021=2,LeiYun_Show_01
102106201,1021062,狸猫轿子,3,Mount_ChunJieHuaJiao_Show_01,1029020=4|1029021=2,ChunJieHuaJiao_Show_01_driver|ChunJieHuaJiao_Show_01_passenger
102106301,1021063,熊猫卡丁车,3,Mount_XiongMaoKaDingChe_Show_01,1029020=4|1029021=2,XiongMaoKaDingChe_Show_01_driver|XiongMaoKaDingChe_Show_01_passenger
102106401,1021064,企鹅滑雪板,3,Mount_HuaXueBan_Show_01,1029020=4|1029021=2,HuaXueBan_Show_01
102106501,1021065,圣诞摇摇床,3,Mount_ShengDanHuaChuang_Show_01,1029020=4|1029021=2,ShengDanHuaChuang_Show_01_driver|ShengDanHuaChuang_Show_01_passenger
102106601,1021066,海马,3,Mount_HaiMa_Show_01,1029020=4|1029021=2,HaiMa_Show_01
102106701,1021067,海盗船,3,Mount_HaiDaoChuan_Show_01,1029020=4|1029021=2,HaiDaoChuan_Show_01
102106801,1021068,蒸汽独轮车,3,Mount_ZhengQiDuLun_Show_01,1029020=4|1029021=2,ZhengQiDuLun_Show_01
102106901,1021069,彩虹针织桥,3,Mount_ZhengQiDuLun_Show_01,1029020=4|1029021=2,ZhengQiDuLun_Show_01
