ItemID,Pro,CDType,CDCount,
道具ID,概率,CD组,CD限制（表示触发一次后xx次内不会再触发）,道具名称（策划用）
3021001,5000,1,0,莫拉硬币
3023001,5000,1,0,金刚石
1290055,5000,1,0,受损的钻石
2090019,5000,1,0,zeny袋子
3020001,5000,1,0,神之金属原石
3020002,5000,1,0,铝原石
3024022,2000,1,0,阿克坦齿轮
3022001,5000,1,0,30级装备水晶
3022002,5000,1,0,40级装备水晶
3022003,5000,1,0,50级装备水晶
3022004,3000,1,0,60级装备水晶
2090026,3000,1,0,装备精炼礼包
1270002,3000,1,0,1克拉钻石
2060009,3000,1,0,发型调色剂
2060010,3000,1,0,瞳色调色剂
3020007,3000,1,0,忽克连的锤子
3020003,3000,1,0,神之金属
3020004,3000,1,0,铝
3022005,3000,1,0,70级装备水晶
3024031,3000,1,0,初级润滑剂
3027004,3000,1,0,天赋卷轴
3021002,3000,1,0,神秘磁石
3022006,2000,2,10,80级装备水晶
3022007,2000,2,10,90级装备水晶
3022008,2000,2,10,100级装备水晶
3022014,2000,2,10,六级强化武器金属
3022015,2000,2,10,七级强化武器金属
3022016,2000,2,10,八级强化武器金属
3022022,2000,2,10,六级强化防具金属
3022023,2000,2,10,七级强化防具金属
3022024,2000,2,10,八级强化防具金属
3020005,2000,2,10,浓缩神之金属
3020006,2000,2,10,浓缩铝
3024032,1000,2,10,中级润滑剂
3020010,1000,2,10,初级解封卷轴
3020008,1000,2,10,魔力之石
3020009,1000,2,10,混沌金属
1270010,1000,2,10,3克拉钻石
