Id,WheelId,ProfessionId,Level,SkillOne,SkillTwo,BornWeight,BorntimesLimit
Id,齿轮ID,职业Id,档次,技能1库ID,技能2库Id,属性生成权重,属性生成次数门槛
1,3024022,2000,1,2000101,0,500,0
2,3024022,2000,2,2000102,0,400,0
3,3024022,2000,3,2000101,2000102,80,0
4,3024022,2000,4,2000101,2000102,20,0
5,3024022,3000,1,3000101,0,500,0
6,3024022,3000,2,3000102,0,400,0
7,3024022,3000,3,3000101,3000102,80,0
8,3024022,3000,4,3000101,3000102,20,0
9,3024022,4000,1,4000101,0,500,0
10,3024022,4000,2,4000102,0,400,0
11,3024022,4000,3,4000101,4000102,80,0
12,3024022,4000,4,4000101,4000102,20,0
13,3024022,5000,1,5000101,0,500,0
14,3024022,5000,2,5000102,0,400,0
15,3024022,5000,3,5000101,5000102,80,0
16,3024022,5000,4,5000101,5000102,20,0
17,3024022,6000,1,6000101,0,500,0
18,3024022,6000,2,6000102,0,400,0
19,3024022,6000,3,6000101,6000102,80,0
20,3024022,6000,4,6000101,6000102,20,0
21,3024022,7000,1,7000101,0,500,0
22,3024022,7000,2,7000102,0,400,0
23,3024022,7000,3,7000101,7000102,80,0
24,3024022,7000,4,7000101,7000102,20,0
25,3024022,2102,1,2102101,0,500,0
26,3024022,2102,2,2102102,0,400,0
27,3024022,2102,3,2102101,2102102,80,0
28,3024022,2102,4,2102101,2102102,20,0
29,3024022,3102,1,3102101,0,500,0
30,3024022,3102,2,3102102,0,400,0
31,3024022,3102,3,3102101,3102102,80,0
32,3024022,3102,4,3102101,3102102,20,0
33,3024022,3201,1,3201101,0,500,0
34,3024022,3201,2,3201102,0,400,0
35,3024022,3201,3,3201101,3201102,80,0
36,3024022,3201,4,3201101,3201102,20,0
37,3024022,3202,1,3202101,0,500,0
38,3024022,3202,2,3202102,0,400,0
39,3024022,3202,3,3202101,3202102,80,0
40,3024022,3202,4,3202101,3202102,20,0
41,3024022,4102,1,4102101,0,500,0
42,3024022,4102,2,4102102,0,400,0
43,3024022,4102,3,4102101,4102102,80,0
44,3024022,4102,4,4102101,4102102,20,0
45,3024022,5102,1,5102101,0,500,0
46,3024022,5102,2,5102102,0,400,0
47,3024022,5102,3,5102101,5102102,80,0
48,3024022,5102,4,5102101,5102102,20,0
49,3024022,6102,1,6102101,0,500,0
50,3024022,6102,2,6102102,0,400,0
51,3024022,6102,3,6102101,6102102,80,0
52,3024022,6102,4,6102101,6102102,20,0
53,3024022,7102,1,7102101,0,500,0
54,3024022,7102,2,7102102,0,400,0
55,3024022,7102,3,7102101,7102102,80,0
56,3024022,7102,4,7102101,7102102,20,0
57,3024023,2000,1,2000201,0,500,0
58,3024023,2000,2,2000202,0,400,0
59,3024023,2000,3,2000201,2000202,80,0
60,3024023,2000,4,2000201,2000202,20,0
61,3024023,3000,1,3000201,0,500,0
62,3024023,3000,2,3000202,0,400,0
63,3024023,3000,3,3000201,3000202,80,0
64,3024023,3000,4,3000201,3000202,20,0
65,3024023,4000,1,4000201,0,500,0
66,3024023,4000,2,4000202,0,400,0
67,3024023,4000,3,4000201,4000202,80,0
68,3024023,4000,4,4000201,4000202,20,0
69,3024023,5000,1,5000201,0,500,0
70,3024023,5000,2,5000202,0,400,0
71,3024023,5000,3,5000201,5000202,80,0
72,3024023,5000,4,5000201,5000202,20,0
73,3024023,6000,1,6000201,0,500,0
74,3024023,6000,2,6000202,0,400,0
75,3024023,6000,3,6000201,6000202,80,0
76,3024023,6000,4,6000201,6000202,20,0
77,3024023,7000,1,7000201,0,500,0
78,3024023,7000,2,7000202,0,400,0
79,3024023,7000,3,7000201,7000202,80,0
80,3024023,7000,4,7000201,7000202,20,0
81,3024023,2102,1,2102201,0,500,0
82,3024023,2102,2,2102202,0,400,0
83,3024023,2102,3,2102201,2102202,80,0
84,3024023,2102,4,2102201,2102202,20,0
85,3024023,3102,1,3102201,0,500,0
86,3024023,3102,2,3102202,0,400,0
87,3024023,3102,3,3102201,3102202,80,0
88,3024023,3102,4,3102201,3102202,20,0
89,3024023,3201,1,3201201,0,500,0
90,3024023,3201,2,3201202,0,400,0
91,3024023,3201,3,3201201,3201202,80,0
92,3024023,3201,4,3201201,3201202,20,0
93,3024023,3202,1,3202201,0,500,0
94,3024023,3202,2,3202202,0,400,0
95,3024023,3202,3,3202201,3202202,80,0
96,3024023,3202,4,3202201,3202202,20,0
97,3024023,4102,1,4102201,0,500,0
98,3024023,4102,2,4102202,0,400,0
99,3024023,4102,3,4102201,4102202,80,0
100,3024023,4102,4,4102201,4102202,20,0
101,3024023,5102,1,5102201,0,500,0
102,3024023,5102,2,5102202,0,400,0
103,3024023,5102,3,5102201,5102202,80,0
104,3024023,5102,4,5102201,5102202,20,0
105,3024023,6102,1,6102201,0,500,0
106,3024023,6102,2,6102202,0,400,0
107,3024023,6102,3,6102201,6102202,80,0
108,3024023,6102,4,6102201,6102202,20,0
109,3024023,7102,1,7102201,0,500,0
110,3024023,7102,2,7102202,0,400,0
111,3024023,7102,3,7102201,7102202,80,0
112,3024023,7102,4,7102201,7102202,20,0
113,3024024,2000,1,2000301,0,500,0
114,3024024,2000,2,2000302,0,400,0
115,3024024,2000,3,2000301,2000302,80,0
116,3024024,2000,4,2000301,2000302,20,0
117,3024024,3000,1,3000301,0,500,0
118,3024024,3000,2,3000302,0,400,0
119,3024024,3000,3,3000301,3000302,80,0
120,3024024,3000,4,3000301,3000302,20,0
121,3024024,4000,1,4000301,0,500,0
122,3024024,4000,2,4000302,0,400,0
123,3024024,4000,3,4000301,4000302,80,0
124,3024024,4000,4,4000301,4000302,20,0
125,3024024,5000,1,5000301,0,500,0
126,3024024,5000,2,5000302,0,400,0
127,3024024,5000,3,5000301,5000302,80,0
128,3024024,5000,4,5000301,5000302,20,0
129,3024024,6000,1,6000301,0,500,0
130,3024024,6000,2,6000302,0,400,0
131,3024024,6000,3,6000301,6000302,80,0
132,3024024,6000,4,6000301,6000302,20,0
133,3024024,7000,1,7000301,0,500,0
134,3024024,7000,2,7000302,0,400,0
135,3024024,7000,3,7000301,7000302,80,0
136,3024024,7000,4,7000301,7000302,20,0
137,3024024,2102,1,2102301,0,500,0
138,3024024,2102,2,2102302,0,400,0
139,3024024,2102,3,2102301,2102302,80,0
140,3024024,2102,4,2102301,2102302,20,0
141,3024024,3102,1,3102301,0,500,0
142,3024024,3102,2,3102302,0,400,0
143,3024024,3102,3,3102301,3102302,80,0
144,3024024,3102,4,3102301,3102302,20,0
145,3024024,3201,1,3201301,0,500,0
146,3024024,3201,2,3201302,0,400,0
147,3024024,3201,3,3201301,3201302,80,0
148,3024024,3201,4,3201301,3201302,20,0
149,3024024,3202,1,3202301,0,500,0
150,3024024,3202,2,3202302,0,400,0
151,3024024,3202,3,3202301,3202302,80,0
152,3024024,3202,4,3202301,3202302,20,0
153,3024024,4102,1,4102301,0,500,0
154,3024024,4102,2,4102302,0,400,0
155,3024024,4102,3,4102301,4102302,80,0
156,3024024,4102,4,4102301,4102302,20,0
157,3024024,5102,1,5102301,0,500,0
158,3024024,5102,2,5102302,0,400,0
159,3024024,5102,3,5102301,5102302,80,0
160,3024024,5102,4,5102301,5102302,20,0
161,3024024,6102,1,6102301,0,500,0
162,3024024,6102,2,6102302,0,400,0
163,3024024,6102,3,6102301,6102302,80,0
164,3024024,6102,4,6102301,6102302,20,0
165,3024024,7102,1,7102301,0,500,0
166,3024024,7102,2,7102302,0,400,0
167,3024024,7102,3,7102301,7102302,80,0
168,3024024,7102,4,7102301,7102302,20,0
169,3024025,2000,1,2000401,0,500,0
170,3024025,2000,2,2000402,0,400,0
171,3024025,2000,3,2000401,2000402,90,0
172,3024025,2000,4,2000401,2000402,10,0
173,3024025,3000,1,3000401,0,500,0
174,3024025,3000,2,3000402,0,400,0
175,3024025,3000,3,3000401,3000402,90,0
176,3024025,3000,4,3000401,3000402,10,0
177,3024025,4000,1,4000401,0,500,0
178,3024025,4000,2,4000402,0,400,0
179,3024025,4000,3,4000401,4000402,90,0
180,3024025,4000,4,4000401,4000402,10,0
181,3024025,5000,1,5000401,0,500,0
182,3024025,5000,2,5000402,0,400,0
183,3024025,5000,3,5000401,5000402,90,0
184,3024025,5000,4,5000401,5000402,10,0
185,3024025,6000,1,6000401,0,500,0
186,3024025,6000,2,6000402,0,400,0
187,3024025,6000,3,6000401,6000402,90,0
188,3024025,6000,4,6000401,6000402,10,0
189,3024025,7000,1,7000401,0,500,0
190,3024025,7000,2,7000402,0,400,0
191,3024025,7000,3,7000401,7000402,90,0
192,3024025,7000,4,7000401,7000402,10,0
193,3024025,2102,1,2102401,0,500,0
194,3024025,2102,2,2102402,0,400,0
195,3024025,2102,3,2102401,2102402,90,0
196,3024025,2102,4,2102401,2102402,10,0
197,3024025,3102,1,3102401,0,500,0
198,3024025,3102,2,3102402,0,400,0
199,3024025,3102,3,3102401,3102402,90,0
200,3024025,3102,4,3102401,3102402,10,0
201,3024025,3201,1,3201401,0,500,0
202,3024025,3201,2,3201402,0,400,0
203,3024025,3201,3,3201401,3201402,90,0
204,3024025,3201,4,3201401,3201402,10,0
205,3024025,3202,1,3202401,0,500,0
206,3024025,3202,2,3202402,0,400,0
207,3024025,3202,3,3202401,3202402,90,0
208,3024025,3202,4,3202401,3202402,10,0
209,3024025,4102,1,4102401,0,500,0
210,3024025,4102,2,4102402,0,400,0
211,3024025,4102,3,4102401,4102402,90,0
212,3024025,4102,4,4102401,4102402,10,0
213,3024025,5102,1,5102401,0,500,0
214,3024025,5102,2,5102402,0,400,0
215,3024025,5102,3,5102401,5102402,90,0
216,3024025,5102,4,5102401,5102402,10,0
217,3024025,6102,1,6102401,0,500,0
218,3024025,6102,2,6102402,0,400,0
219,3024025,6102,3,6102401,6102402,90,0
220,3024025,6102,4,6102401,6102402,10,0
221,3024025,7102,1,7102401,0,500,0
222,3024025,7102,2,7102402,0,400,0
223,3024025,7102,3,7102401,7102402,90,0
224,3024025,7102,4,7102401,7102402,10,0
225,3024022,2201,1,2201101,0,500,0
226,3024022,2201,2,2201102,0,400,0
227,3024022,2201,3,2201101,2201102,80,0
228,3024022,2201,4,2201101,2201102,20,0
229,3024023,2201,1,2201201,0,500,0
230,3024023,2201,2,2201202,0,400,0
231,3024023,2201,3,2201201,2201202,80,0
232,3024023,2201,4,2201201,2201202,20,0
233,3024024,2201,1,2201301,0,500,0
234,3024024,2201,2,2201302,0,400,0
235,3024024,2201,3,2201301,2201302,80,0
236,3024024,2201,4,2201301,2201302,20,0
237,3024025,2201,1,2201401,0,500,0
238,3024025,2201,2,2201402,0,400,0
239,3024025,2201,3,2201401,2201402,90,0
240,3024025,2201,4,2201401,2201402,10,0
241,3024022,2202,1,2201101,0,500,0
242,3024022,2202,2,2202102,0,400,0
243,3024022,2202,3,2201101,2202102,80,0
244,3024022,2202,4,2201101,2202102,20,0
245,3024023,2202,1,2201201,0,500,0
246,3024023,2202,2,2202202,0,400,0
247,3024023,2202,3,2201201,2202202,80,0
248,3024023,2202,4,2201201,2202202,20,0
249,3024024,2202,1,2202302,0,500,0
250,3024024,2202,2,2201302,0,400,0
251,3024024,2202,3,2201301,2202302,80,0
252,3024024,2202,4,2201301,2202302,20,0
253,3024025,2202,1,2201401,0,500,0
254,3024025,2202,2,2202402,0,400,0
255,3024025,2202,3,2201401,2202402,90,0
256,3024025,2202,4,2201401,2202402,10,0
257,3024022,6201,1,6201101,0,500,0
258,3024022,6201,2,6201102,0,400,0
259,3024022,6201,3,6201101,6201102,80,0
260,3024022,6201,4,6201101,6201102,20,0
261,3024023,6201,1,6201201,0,500,0
262,3024023,6201,2,6201202,0,400,0
263,3024023,6201,3,6201201,6201202,80,0
264,3024023,6201,4,6201201,6201202,20,0
265,3024024,6201,1,6201301,0,500,0
266,3024024,6201,2,6201302,0,400,0
267,3024024,6201,3,6201301,6201302,80,0
268,3024024,6201,4,6201301,6201302,20,0
269,3024025,6201,1,6201401,0,500,0
270,3024025,6201,2,6201402,0,400,0
271,3024025,6201,3,6201401,6201402,90,0
272,3024025,6201,4,6201401,6201402,10,0
273,3024022,6202,1,6202101,0,500,0
274,3024022,6202,2,6202102,0,400,0
275,3024022,6202,3,6202101,6202102,80,0
276,3024022,6202,4,6202101,6202102,20,0
277,3024023,6202,1,6202201,0,500,0
278,3024023,6202,2,6202202,0,400,0
279,3024023,6202,3,6202201,6202202,80,0
280,3024023,6202,4,6202201,6202202,20,0
281,3024024,6202,1,6202301,0,500,0
282,3024024,6202,2,6202302,0,400,0
283,3024024,6202,3,6202301,6202302,80,0
284,3024024,6202,4,6202301,6202302,20,0
285,3024025,6202,1,6202401,0,500,0
286,3024025,6202,2,6202402,0,400,0
287,3024025,6202,3,6202401,6202402,90,0
288,3024025,6202,4,6202401,6202402,10,0
289,3024022,2101,1,2101101,0,500,0
290,3024022,2101,2,2101102,0,400,0
291,3024022,2101,3,2101101,2101102,80,0
292,3024022,2101,4,2101101,2101102,20,0
293,3024023,2101,1,2101201,0,500,0
294,3024023,2101,2,2101202,0,400,0
295,3024023,2101,3,2101201,2101202,80,0
296,3024023,2101,4,2101201,2101202,20,0
297,3024024,2101,1,2101301,0,500,0
298,3024024,2101,2,2101302,0,400,0
299,3024024,2101,3,2101301,2101302,80,0
300,3024024,2101,4,2101301,2101302,20,0
301,3024025,2101,1,2101401,0,500,0
302,3024025,2101,2,2101402,0,400,0
303,3024025,2101,3,2101401,2101402,90,0
304,3024025,2101,4,2101401,2101402,10,0
305,3024022,3101,1,3101101,0,500,0
306,3024022,3101,2,3101102,0,400,0
307,3024022,3101,3,3101101,3101102,80,0
308,3024022,3101,4,3101101,3101102,20,0
309,3024023,3101,1,3101201,0,500,0
310,3024023,3101,2,3101202,0,400,0
311,3024023,3101,3,3101201,3101202,80,0
312,3024023,3101,4,3101201,3101202,20,0
313,3024024,3101,1,3101301,0,500,0
314,3024024,3101,2,3101302,0,400,0
315,3024024,3101,3,3101301,3101302,80,0
316,3024024,3101,4,3101301,3101302,20,0
317,3024025,3101,1,3101401,0,500,0
318,3024025,3101,2,3101402,0,400,0
319,3024025,3101,3,3101401,3101402,90,0
320,3024025,3101,4,3101401,3101402,10,0
321,3024022,4101,1,4101101,0,500,0
322,3024022,4101,2,4101102,0,400,0
323,3024022,4101,3,4101101,4101102,80,0
324,3024022,4101,4,4101101,4101102,20,0
325,3024023,4101,1,4101201,0,500,0
326,3024023,4101,2,4101202,0,400,0
327,3024023,4101,3,4101201,4101202,80,0
328,3024023,4101,4,4101201,4101202,20,0
329,3024024,4101,1,4101301,0,500,0
330,3024024,4101,2,4101302,0,400,0
331,3024024,4101,3,4101301,4101302,80,0
332,3024024,4101,4,4101301,4101302,20,0
333,3024025,4101,1,4101401,0,500,0
334,3024025,4101,2,4101402,0,400,0
335,3024025,4101,3,4101401,4101402,90,0
336,3024025,4101,4,4101401,4101402,10,0
337,3024022,5101,1,5101101,0,500,0
338,3024022,5101,2,5101102,0,400,0
339,3024022,5101,3,5101101,5101102,80,0
340,3024022,5101,4,5101101,5101102,20,0
341,3024023,5101,1,5101201,0,500,0
342,3024023,5101,2,5101202,0,400,0
343,3024023,5101,3,5101201,5101202,80,0
344,3024023,5101,4,5101201,5101202,20,0
345,3024024,5101,1,5101301,0,500,0
346,3024024,5101,2,5101302,0,400,0
347,3024024,5101,3,5101301,5101302,80,0
348,3024024,5101,4,5101301,5101302,20,0
349,3024025,5101,1,5101401,0,500,0
350,3024025,5101,2,5101402,0,400,0
351,3024025,5101,3,5101401,5101402,90,0
352,3024025,5101,4,5101401,5101402,10,0
353,3024022,6101,1,6101101,0,500,0
354,3024022,6101,2,6101102,0,400,0
355,3024022,6101,3,6101101,6101102,80,0
356,3024022,6101,4,6101101,6101102,20,0
357,3024023,6101,1,6101201,0,500,0
358,3024023,6101,2,6101202,0,400,0
359,3024023,6101,3,6101201,6101202,80,0
360,3024023,6101,4,6101201,6101202,20,0
361,3024024,6101,1,6101301,0,500,0
362,3024024,6101,2,6101302,0,400,0
363,3024024,6101,3,6101301,6101302,80,0
364,3024024,6101,4,6101301,6101302,20,0
365,3024025,6101,1,6101401,0,500,0
366,3024025,6101,2,6101402,0,400,0
367,3024025,6101,3,6101401,6101402,90,0
368,3024025,6101,4,6101401,6101402,10,0
369,3024022,7101,1,7101101,0,500,0
370,3024022,7101,2,7101102,0,400,0
371,3024022,7101,3,7101101,7101102,80,0
372,3024022,7101,4,7101101,7101102,20,0
373,3024023,7101,1,7101201,0,500,0
374,3024023,7101,2,7101202,0,400,0
375,3024023,7101,3,7101201,7101202,80,0
376,3024023,7101,4,7101201,7101202,20,0
377,3024024,7101,1,7101301,0,500,0
378,3024024,7101,2,7101302,0,400,0
379,3024024,7101,3,7101301,7101302,80,0
380,3024024,7101,4,7101301,7101302,20,0
381,3024025,7101,1,7101401,0,500,0
382,3024025,7101,2,7101402,0,400,0
383,3024025,7101,3,7101401,7101402,90,0
384,3024025,7101,4,7101401,7101402,10,0
385,3024022,7201,1,7201101,0,500,0
386,3024022,7201,2,7201102,0,400,0
387,3024022,7201,3,7201101,7201102,80,0
388,3024022,7201,4,7201101,7201102,20,0
389,3024023,7201,1,7201201,0,500,0
390,3024023,7201,2,7201202,0,400,0
391,3024023,7201,3,7201201,7201202,80,0
392,3024023,7201,4,7201201,7201202,20,0
393,3024024,7201,1,7201301,0,500,0
394,3024024,7201,2,7201302,0,400,0
395,3024024,7201,3,7201301,7201302,80,0
396,3024024,7201,4,7201301,7201302,20,0
397,3024025,7201,1,7201401,0,500,0
398,3024025,7201,2,7201402,0,400,0
399,3024025,7201,3,7201401,7201402,90,0
400,3024025,7201,4,7201401,7201402,10,0
401,3024022,7202,1,7202101,0,500,0
402,3024022,7202,2,7202102,0,400,0
403,3024022,7202,3,7202101,7202102,80,0
404,3024022,7202,4,7202101,7202102,20,0
405,3024023,7202,1,7202201,0,500,0
406,3024023,7202,2,7202202,0,400,0
407,3024023,7202,3,7202201,7202202,80,0
408,3024023,7202,4,7202201,7202202,20,0
409,3024024,7202,1,7202301,0,500,0
410,3024024,7202,2,7202302,0,400,0
411,3024024,7202,3,7202301,7202302,80,0
412,3024024,7202,4,7202301,7202302,20,0
413,3024025,7202,1,7202401,0,500,0
414,3024025,7202,2,7202402,0,400,0
415,3024025,7202,3,7202401,7202402,90,0
416,3024025,7202,4,7202401,7202402,10,0
417,3024022,7211,1,7211101,0,500,0
418,3024022,7211,2,7211102,0,400,0
419,3024022,7211,3,7211101,7211102,80,0
420,3024022,7211,4,7211101,7211102,20,0
421,3024023,7211,1,7211201,0,500,0
422,3024023,7211,2,7211202,0,400,0
423,3024023,7211,3,7211201,7211202,80,0
424,3024023,7211,4,7211201,7211202,20,0
425,3024024,7211,1,7211301,0,500,0
426,3024024,7211,2,7211302,0,400,0
427,3024024,7211,3,7211301,7211302,80,0
428,3024024,7211,4,7211301,7211302,20,0
429,3024025,7211,1,7211401,0,500,0
430,3024025,7211,2,7211402,0,400,0
431,3024025,7211,3,7211401,7211402,90,0
432,3024025,7211,4,7211401,7211402,10,0
433,3024022,7212,1,7212101,0,500,0
434,3024022,7212,2,7212102,0,400,0
435,3024022,7212,3,7212101,7212102,80,0
436,3024022,7212,4,7212101,7212102,20,0
437,3024023,7212,1,7212201,0,500,0
