PlayerBaseLv,ExpectedExp,MonsterBaseExp,MonsterJobExp
等级,每秒期望经验值,怪物BaseExp,怪物JobExp
1,13,2340,1872
2,14,2460,1968
3,14,2610,2088
4,15,2790,2232
5,16,3000,2400
6,18,3240,2592
7,19,3510,2808
8,21,3810,3048
9,23,4140,3312
10,24,4500,3600
11,27,4890,3912
12,29,5310,4248
13,31,5760,4608
14,34,6240,4992
15,36,6750,5400
16,39,7290,5832
17,42,7860,6288
18,46,8460,6768
19,49,9090,7272
20,52,9750,7800
21,56,10440,8352
22,60,11160,8928
23,64,11910,9528
24,68,12690,10152
25,72,13500,10800
26,77,14340,11472
27,82,15210,12168
28,86,16110,12888
29,91,17040,13632
30,96,18000,14400
31,102,18990,15192
32,107,20010,16008
33,113,21060,16848
34,119,22140,17712
35,124,23250,18600
36,131,24390,19512
37,137,25560,20448
38,143,26760,21408
39,150,27990,22392
40,156,29250,23400
41,163,30540,24432
42,170,31860,25488
43,178,33210,26568
44,185,34590,27672
45,192,36000,28800
46,200,37440,29952
47,208,38910,31128
48,216,40410,32328
49,224,41940,33552
50,232,43500,34800
51,241,45090,36072
52,250,46710,37368
53,258,48360,38688
54,267,50040,40032
55,276,51750,41400
56,286,53490,42792
57,295,55260,44208
58,305,57060,45648
59,315,58890,47112
60,324,60750,48600
61,335,62640,50112
62,345,64560,51648
63,355,66510,53208
64,366,68490,54792
65,376,70500,56400
66,387,72540,58032
67,398,74610,59688
68,410,76710,61368
69,421,78840,63072
70,432,81000,64800
71,444,83190,66552
72,456,85410,68328
73,468,87660,70128
74,480,89940,71952
75,492,92250,73800
76,505,94590,75672
77,518,96960,77568
78,530,99360,79488
79,543,101790,81432
80,556,104250,83400
81,570,106740,85392
82,583,109260,87408
83,597,111810,89448
84,611,114390,91512
85,624,117000,93600
86,639,119640,95712
87,653,122310,97848
88,667,125010,100008
89,682,127740,102192
90,696,130500,104400
91,711,133290,106632
92,726,136110,108888
93,742,138960,111168
94,757,141840,113472
95,772,144750,115800
96,788,147690,118152
97,804,150660,120528
98,820,153660,122928
99,836,156690,125352
100,852,159750,127800
101,868,162825,130260
102,884,165900,132720
103,901,169050,135240
104,918,172275,137820
105,936,175500,140400
106,953,178725,142980
107,970,181950,145560
108,988,185250,148200
109,1006,188625,150900
110,1024,192000,153600
111,1042,195375,156300
112,1060,198750,159000
113,1078,202200,161760
114,1097,205725,164580
115,1116,209250,167400
116,1134,212775,170220
117,1153,216300,173040
118,1172,219900,175920
119,1192,223575,178860
120,1212,227250,181800
121,1231,230925,184740
122,1251,234600,187680
123,1271,238350,190680
124,1291,242175,193740
125,1312,246000,196800
126,1332,249825,199860
127,1352,253650,202920
128,1373,257550,206040
129,1394,261525,209220
130,1416,265500,212400
