ID,EventLevel,TriggerType,LinkTaskID,RecommendLevel,WorldDes,Content,EventBaseAward,EventAdditionalAward,WorldAtlas,WorldIcon
事件ID,事件难度（1.简单 2.普通 3.困难）,触发类型（1.NPC触发 2.点击触发器触发）,关联父任务ID,推荐等级,世界地图描述,任务备注,事件基础奖励,事件额外奖励,任务难度图集,难度图标
1,3,1=10861,15004000,50,梦罗克西部的金字塔中最近会有奇怪的动静出现，急需冒险家前去查探一下详情！,金字塔异变45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
2,3,1=10863,15005000,50,吉芬城有特殊的魔法能量异动，看看有谁能给出一点信息,吉芬魔法师45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
3,3,1=10783,15015000,50,梦罗克最近有些不太平，地下世界一个臭名昭著的犯罪团伙正悄然崛起：毒眼。这是一个早在20年前便已经被刺客公会铲除了的极端组织，但如今不知为何死灰复燃了,毒眼圣物45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
4,3,1=10783,15006000,50,传说中有一个专门狩猎哥布灵的杀手一直在哥布灵森林中游荡，哥布灵因此才不敢从森林中出来与人类作对，这次你似乎有机会获得与其面对面的机会！,哥布灵杀手45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
5,3,1=10783,15008000,50,最近小道消息疯狂流传在海底洞窟有会说话的人鱼，去打听一下吧,落难的公主45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
6,3,1=10783,15009000,50,兽人村传出不好的气息，是不是有什么事发生呢,兽人事变45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
7,1,1=10783|1=10784|1=10785|1=10786,15000000,50,,梦罗克异变45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
8,1,1=10783|1=10784|1=10785|1=10786,15000700,50,,哥布灵杀手60,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
9,1,1=10783|1=10784|1=10785|1=10786,15000800,50,,人鱼宝藏45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
10,1,1=10783|1=10784|1=10785|1=10786,15000900,50,,人鱼宝藏60,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
11,1,1=10783|1=10784|1=10785|1=10786,15001000,50,兽人村传出不好的气息，是不是有什么事发生呢,兽人事变45,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
12,1,1=10783|1=10784|1=10785|1=10786,15001100,100,,兽人事变60,6300010,6300020,Map,UI_map_Interactive_WorldPve03.png
