origion_id,replaced_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
5001,500101
5002,500201
5003,500301
5004,500401
5005,500501
5006,500601
5007,500701
5008,500801
5009,500901
5010,501001
5011,501101
5012,501201
5013,501301
5014,501401
5015,501501
6001,600101
6002,600201
6003,600301
6018,601801
6019,601901
7001,700101
7002,700201
7003,700301
10001,1000101
10002,1000201
10003,1000301
10004,1000403
10005,1000501
10006,1000601
10007,1000701
10008,1000803
10009,1000901
10010,1001001
10011,1001101
10012,1001201
10013,1001301
10014,1001401
10015,1001501
10016,1001601
10017,1001701
10018,1001801
10019,1001901
10020,1002001
10021,1002101
10022,1002201
10023,1002301
10024,1002401
10025,1002501
10026,1002601
10027,1002701
10028,1002801
10029,1002901
10030,1003001
10031,1003101
10032,1003201
10033,1003301
10034,1003401
10035,1003501
10036,1003601
10037,1003701
10040,1004001
10041,1004101
10042,1004201
10043,1004301
99999,99999
100000,100000
100001,10000101
100002,10000201
100003,10000301
100004,10000401
100005,10000501
100006,10000601
100007,10000701
100008,10000801
200001,20000101
200002,20000201
200003,20000301
200004,20000401
200005,20000501
200006,20000601
200007,20000701
200008,20000801
200009,20000901
200010,20001001
200011,20001101
200012,20001201
200013,20001301
200014,20001401
200015,20001501
200016,20001601
200017,20001701
200018,20001801
200019,20001901
200020,20002001
200021,20002101
200022,20002201
200023,20002301
200024,20002401
200025,20002501
200026,20002601
200027,20002701
200028,20002801
200029,20002901
200030,20003001
210101,21010101
210102,21010201
210103,21010301
210104,21010401
210105,21010501
210106,21010601
210107,21010701
210108,21010801
210109,21010901
210110,21011001
210111,21011101
210112,21011201
210113,21011301
210114,21011401
210115,21011501
210116,21011601
210117,21011701
210118,21011801
210119,21011901
210201,21020101
210202,21020201
210203,21020301
210204,21020401
210205,21020501
210206,21020601
210207,21020701
210208,21020801
210209,21020901
210210,21021001
210211,21021101
220101,22010101
220102,22010201
220103,22010301
220104,22010401
220105,22010501
220106,22010601
220107,22010701
220108,22010801
220109,22010901
220110,22011001
220111,22011101
220112,22011201
220113,22011301
220114,22011401
220115,21010601
220116,21010701
220201,22020101
220202,22020201
220203,22020301
220204,22020401
220205,22020501
220206,22020601
220207,22020701
220208,22020801
220209,22020901
220210,22021001
220211,22021101
220212,22021201
220213,22021301
220214,22021401
400001,40000101
400002,40000201
400003,40000301
400004,40000401
400005,40000501
400006,40000601
400007,40000701
400008,40000801
400009,40000901
400010,40001001
400011,40001101
400012,40001201
400013,40001301
400014,40001401
400015,40001501
400016,40001601
400017,40001701
400018,40001801
400019,40001901
400020,40002001
400021,40002101
400022,40002201
400023,40002301
400024,40002401
400025,40002501
400026,40002601
400027,40002701
400028,40002801
400029,40002901
400030,40003001
400031,40003101
410101,41010101
410102,41010201
410103,41010301
410104,41010401
410105,41010501
410106,41010601
410108,41010801
410109,41010901
410110,41011001
410111,41011101
410112,41011201
410113,41011301
410114,41011401
410115,41011501
410116,41011601
410117,41011701
410118,41011801
410119,41011901
410201,41020101
410202,41020201
410204,41020401
410205,41020501
410206,41020601
410207,41020701
410208,41020801
410209,41020901
410210,41021001
410211,41021101
410212,41021201
410213,41021301
410214,41021401
410215,41021501
410216,41021601
420101,42010101
420102,42010201
420103,42010301
420104,42010401
420105,42010501
420106,42010601
420107,42010701
420108,42010801
420109,42010901
420110,42011001
420112,42011201
420113,42011301
420114,42011401
420115,42011501
420116,42011601
420117,42011701
420118,42011801
420119,42011901
420120,42012001
420121,42012101
420122,42012201
420123,42012301
420201,42020101
420202,42020201
420203,42020301
420204,42020401
420205,42020501
420206,42020601
420207,42020701
420208,42020801
420209,42020901
420210,42021001
420211,42021101
420212,42021201
420213,42021301
420214,42021401
420215,42021501
420216,42021601
420217,42021701
420218,42021801
420219,42021901
420221,42022101
420222,42022201
420223,42022301
420224,42022401
420220,42022001
420230,42023001
420240,42024001
420250,42025001
300001,30000101
300002,30000201
300003,30000301
300004,30000401
300005,30000501
300006,30000601
300007,30000701
300008,30000801
300009,30000901
300010,30001001
300011,30001101
300012,30001201
300013,30001301
300014,30001401
300015,30001501
300016,30001601
300017,30001701
300018,30001801
300019,30001901
300020,30002001
300021,30002101
300022,30002201
300023,30002301
300024,30002401
300025,30002501
300026,30002601
300027,30002701
300028,30002801
310101,31010101
310102,31010201
310103,31010301
310104,31010401
310105,31010501
310106,31010601
310107,31010701
310108,31010801
310109,31010901
310110,31011001
310111,31011101
310112,31011201
310113,31011301
